Character|Sentence
 Emilia | It's getting lonelier and lonelier. 
 Subaru Natsuki | This is bad... Very bad... 
 Emilia | Subaru? What's wrong? 
 Subaru Natsuki | Ah, I see. This is where they suck you in. 
 Subaru Natsuki | No... Run! Hurry! 
 EXTRA | Miso Natto 
 Subaru Natsuki | Nah, not natto. 
 Subaru Natsuki | Wait there... 
 EXTRA | That'll be 363 yen. 
 Subaru Natsuki | Oh, a grooved-edge ten. 
 Subaru Natsuki | I'm... 
 Subaru Natsuki | going to... 
 Subaru Natsuki | save you... 
 Subaru Natsuki |" I guess anyone's eyes would be tired after
holing up in their room, gaming all day. "
 Subaru Natsuki | What's going on? 
 Subaru Natsuki | This stuff obviously isn't fake. 
 Subaru Natsuki | Which means... 
 Subaru Natsuki | So does this mean... 
 Subaru Natsuki | I've been summoned into a parallel world?! 
 Subaru Natsuki | I guess I can assume this is a fantasy world 
 Subaru Natsuki | with the typical medieval-style culture. 
 Subaru Natsuki | A realm where demihumans are commonplace, 
 Subaru Natsuki |" and probably stuff like wars
and adventures, as well. "
 Subaru Natsuki | And here, I'm... 
 EXTRA | Hey! 
 EXTRA | Watch out! 
 Subaru Natsuki | This is it! It's my turn! 
 Subaru Natsuki |" This must be the event where
I produce my first magic! "
 EXTRA | Look out! 
 EXTRA | Way to go! 
 EXTRA | Well done! 
 Subaru Natsuki | I guess I'm not quite ready to use magic... 
 Subaru Natsuki | I can't read this. 
 Kadomon Risch | Hey, boy. 
 Kadomon Risch |" Those are some weird clothes.
Are you traveling? "
 Subaru Natsuki | What are these? 
 Kadomon Risch | Those are appas. 
 Subaru Natsuki |" They understand me, though.
The question is... "
 Kadomon Risch | Huh? What kind of money is that? 
 Kadomon Risch | You can't use that stuff in Lugunica. 
 Kadomon Risch | That means you're flat broke, huh? 
 Kadomon Risch |" Get outta here!
Don't interfere with my business! "
 Subaru Natsuki | There's no other way... 
 Subaru Natsuki |" I'll just have to go around
gathering information first. "
 EXTRA | This place is for demihumans only. 
 Subaru Natsuki | Ow! I can't... see... 
 Subaru Natsuki | Is this how it's supposed to be? 
 Subaru Natsuki | Wasn't I summoned into a parallel world?! 
 Subaru Natsuki | Where'd my protagonist status go?! 
 Subaru Natsuki | Damn it. 
 EXTRA | [Phone Menu] 
 EXTRA | [Contacts] 
 Subaru Natsuki | My cell phone still works... 
 EXTRA | Out of Range 
 Subaru Natsuki | But what's the point in having it?! 
 Subaru Natsuki | And my starting gear is way too wimpy! 
 Subaru Natsuki | You need a more substantial welfare program 
 Subaru Natsuki |" to satisfy pressure-free
generation kids like me! "
 Subaru Natsuki | I don't even have Excalibur or anything! 
 Subaru Natsuki |" And besides, if I was summoned,
where's the cute girl who summoned me? "
 Subaru Natsuki |" Did she summon me only
to leave me here alone? "
 Subaru Natsuki |" Hey, is she finally here?!
The cute girl who summoned... me... "
 Kan | What are you babbling about? 
 Chin |" If you don't wanna get hurt,
cough up whatever you've got! "
 Subaru Natsuki | Crap, it's a compulsory event... 
 Felt | Move it, move it! 
 Felt | You guys! 
 Felt | Out of my way! 
 Subaru Natsuki | Here we go! 
 Subaru Natsuki | Is that the cute girl who summoned me?! 
 Felt |" Summoned? I dunno what you're
talkin' about, but I'm busy! "
 Felt | Sorry! Live strong! 
 Subaru Natsuki | Wait, what? What?! 
 Subaru Natsuki |" Hey, that didn't make you decide to be less
hostile toward me, by any chance, did it? "
 Ton |" Actually, it rained on our
parade and made things worse. "
 Subaru Natsuki | Yeah, of course... 
 Subaru Natsuki | Just calm down, Natsuki Subaru. 
 Subaru Natsuki | Since ancient times, it's the rule that anyone 
 Subaru Natsuki |" summoned into a parallel world
will display supernatural powers! "
 Subaru Natsuki |" I'll mow these guys down and make
them fuel for my shining future! "
 Subaru Natsuki | You lumps of EXP! 
 Subaru Natsuki | That's the first time I ever hit someone! 
 Subaru Natsuki | I didn't expect it to hurt me that much... 
 Subaru Natsuki |" But this world is set up
so that I'll be strong! "
 Subaru Natsuki | My adrenaline is surging! I've got this! 
 Subaru Natsuki |" I'm sorry! It was all my fault!
Forgive me! Spare me! "
 Kan | Play games with us, will you?! Die, scum! 
 Chin | And don't think it'll be painless! 
 Emilia | That's enough. 
 Chin | Who the hell are you?! 
 Emilia | Stop now, and I'll let this slide. 
 Emilia | So just graciously return what you stole. 
 Ton | What we stole? 
 Emilia | Now, please. It's important to me. 
 Emilia |" I'll give up on the other stuff,
but I can't let you have that. "
 Emilia | Be good and hand it over, please. 
 Ton | You didn't come to save this kid? 
 Emilia | What strange clothes he has... 
 Emilia |" If you asked me whether I had any
connection to him, I'd have to say no. "
 Ton | Then you've got no business with us! 
 Ton |" If someone stole from you,
it was that brat who just ran by! "
